Model,Accuracy,Precision,Recall,F1-Score,AUC,Training Time
EGraphSAGE,1.0,1.0,1.0,1.0,1.0,11.596080303192139
GCN,0.9115646258503401,0.8015267175572519,1.0,0.8898305084745763,0.9947089947089947,5.025969982147217
GAT,0.6428571428571429,0.0,0.0,0.0,0.2142857142857143,3.98553729057312
GraphSAGE,1.0,1.0,1.0,1.0,1.0,8.789670705795288
Hybrid,1.0,1.0,1.0,1.0,1.0,37.194409132003784
